"gene","SRR12363092","SRR12363093","SRR12363095","SRR12363096","SRR12363098","SRR12363099","SRR12363101","SRR12363102"
"Q5F226",1.23143965684915,0.632608422214888,0.205091913358645,-0.353616687991462,0.246311460011488,0.808860422675521,-1.81134939641153,-0.959345790706691
"ENSMUST00000153181.7",0.478024877931828,0.368680842972519,0.488465173859106,-0.273803376659206,-0.536149496784904,-2.09830928454214,0.342510757278467,1.23058050594433
"ENSMUST00000197939.1",0.34809397566701,1.25361427103268,-1.42898896012957,-0.331692986010843,0.169930816908495,0.510321338720038,-1.42898896012957,0.907710503941753
"A0A1B0GSI7",-0.673988376775713,-0.673988376775713,-0.673988376775713,1.18037430437057,-0.673988376775713,-0.673988376775713,1.77973333126112,0.409834248246877
"Q61458",-0.311798938193877,0.428259637706571,0.648457953025146,0.734919022943079,1.09552523202595,-2.10667686683641,-0.220875603720181,-0.267810436950284
"D3YWQ0",-0.709883850486246,1.5420195442473,0.208033180428605,1.16087792689635,-1.52608092012772,0.167442188056823,-0.333057167933266,-0.509350901081853
"ENSMUST00000124015.1",1.37808606665948,0.141674847066995,-1.1300057430973,-0.58532605059584,1.11051023711023,-1.28096573305769,0.693010058399177,-0.326983682485043
"ENSMUST00000187359.1",-1.3500173480618,0.294058404775219,-0.400539287652079,0.139288982950441,1.23924454297182,0.197604822482945,-1.3500173480618,1.23037723059526
"ENSMUST00000232716.1",0.856702194175751,-0.968040897659858,-0.125678875402581,0.581976949087798,1.06302278191231,-0.521343772586857,-1.70418897880891,0.817550599282345
"A0A1Y7VNT1",0.208770710843214,0.319144078522945,1.30356139195639,1.09075183162583,-0.0427940691953087,-0.0675893038096197,-1.46030614434196,-1.35153849560149
"ENSMUST00000177116.7",-0.117274184031003,0.358469015731371,0.732469071223344,-1.51938233468365,1.09003433493787,0.630078485853407,-1.51938233468365,0.344987945652315
"D3YUG0",-0.964214996244122,1.15943957149982,-0.139576599303876,-0.964214996244122,-0.00409654731921865,-0.964214996244122,1.67523410499275,0.201644458862889
"ENSMUST00000220083.1",0.400108905810829,1.54430614994341,-1.3138160261395,0.169492556458577,-0.212799924981469,-0.213312147630123,-1.3138160261395,0.939836512677772
"ENSMUST00000182017.1",0.665218874228571,-1.3134132056957,-0.574865948900464,0.852483207892551,0.187602987579443,-0.153194511775592,-1.18470227379051,1.5208708704617
"ENSMUST00000198325.4",-0.0347432200599341,0.281724367271125,-0.896241813802026,-0.696567272100473,-1.16903053899354,-0.359615223175187,1.48032918078047,1.39414452007956
"F6ZUE3",-0.880519718975039,0.708964638150582,0.53221796754108,-1.95420278371217,0.605477364648238,0.874803269053695,-0.434080187134539,0.547339450428157
"A0A1W2P7G0",-0.236130278436581,-0.192064847988437,-1.47469231197767,-1.12146674256084,1.21332136430602,1.34461434953177,0.0257978780270026,0.440620589098741
"ENSMUST00000232893.1",-0.367246129392681,-2.07686336141368,0.156408359196663,-0.0195815952316069,0.290939457603824,1.51866998107183,0.326548337182497,0.171124950983157
"ENSMUST00000203466.1",-0.94797702677764,-0.798244042813091,-0.647541549307553,-0.567621585035978,-0.507614538013477,0.625380171975113,1.2977417257937,1.54587684417892
"Q8BP07",0.744361104160332,1.6208277355381,-1.15980025354288,-1.23541352425169,0.585255164577782,0.381942342023015,-0.368808976141434,-0.568363592363241
"Q91YR5",0.150333497757629,0.575958676260377,0.0781792745749169,-0.0940902238064914,-1.98395794215835,0.705207173284521,-0.724720136923218,1.29308968101063
