ID,Gender,Taxon ,Home range   ,Mass   ,Diet ,Environment 
406,Sylvilagus,Sylvilagus_palustris ,-1.4,0.13,Herbivore,Terrestrial
407,Synaptomys,Synaptomys_cooperi ,-2.34,-1.42,Herbivore,Terrestrial
408,Syncerus,Syncerus_caffer ,1.91,2.77,Herbivore,Terrestrial
409,Tachyglossus,Tachyglossus_aculeatus ,-0.35,0.65,Carnivore,Terrestrial
410,Tachyoryctes,Tachyoryctes_splendens ,-4,-0.59,Herbivore,Terrestrial
411,Talpa,Talpa_europaea ,-2.52,-1.02,Carnivore,Terrestrial
412,Talpa,Talpa_romana ,-2.55,-1.09,Carnivore,Terrestrial
413,Tamandua,Tamandua_mexicana ,-0.6,0.62,Carnivore,Terrestrial
414,Tamandua,Tamandua_tetradactyla ,0.48,0.68,Carnivore,Terrestrial
415,Tamias,Tamias_amoenus ,-2.09,-1.57,Herbivore,Terrestrial
416,Tamias,Tamias_minimus ,-1.83,-1.37,Herbivore,Terrestrial
417,Tamias,Tamias_quadrimaculatus ,-2.22,-1.08,Omnivore,Terrestrial
418,Tamias,Tamias_quadrivittatus ,-1.27,-1.37,Herbivore,Terrestrial
419,Tamias,Tamias_senex ,-2,-1.05,Omnivore,Terrestrial
420,Tamias,Tamias_sibiricus ,-2.71,-1.02,Herbivore,Terrestrial
421,Tamias,Tamias_speciosus ,-2,-1.22,Omnivore,Terrestrial
422,Tamias,Tamias_townsendii ,-2.14,-1.1,Omnivore,Terrestrial
423,Tamias,Tamias_umbrinus ,-1.49,-1.37,Herbivore,Terrestrial
424,Tamiasciurus,Tamiasciurus_douglasii ,-2.49,-0.65,Omnivore,Terrestrial
425,Tamiasciurus,Tamiasciurus_hudsonicus ,-2.32,-0.65,Herbivore,Terrestrial
426,Tarsius,Tarsius_bancanus ,-1.7,-0.94,Omnivore,Terrestrial
427,Tarsius,Tarsius_tarsier ,-1.7,-0.77,Omnivore,Terrestrial
428,Tatera,Tatera_indica ,-2.76,-0.86,Omnivore,Terrestrial
429,Taxidea,Taxidea_taxus ,0.58,0.94,Carnivore,Terrestrial
430,Tayassu,Tayassu_pecari ,1.16,1.31,Herbivore,Terrestrial
431,Thomomys,Thomomys_bottae ,-4.15,-0.8,Herbivore,Terrestrial
432,Thylamys,Thylamys_elegans ,-3.15,-1.54,Carnivore,Terrestrial
433,Thylogale,Thylogale_stigmatica ,-1.45,0.67,Herbivore,Terrestrial
434,Thylogale,Thylogale_thetis ,-0.86,0.73,Herbivore,Terrestrial
435,Tragelaphus,Tragelaphus_oryx ,1.72,2.8,Herbivore,Terrestrial
436,Tragelaphus,Tragelaphus_scriptus ,-1.43,1.74,Herbivore,Terrestrial
437,Tragelaphus,Tragelaphus_strepsiceros ,3.03,2.3,Herbivore,Terrestrial
438,Trichosurus,Trichosurus_vulpecula ,-1.3,0.46,Herbivore,Terrestrial
439,Tupaia,Tupaia_glis ,-2.06,-0.88,Omnivore,Terrestrial
440,Tursiops,Tursiops_aduncus ,2,2.33,Carnivore,Marine
441,Tursiops,Tursiops_truncates ,1.71,2.56,Carnivore,Marine
442,Uncia,Uncia_uncia ,1.24,1.48,Carnivore,Terrestrial
443,Urocyon,Urocyon_cinereoargenteus ,0.44,0.66,Omnivore,Terrestrial
444,Urocyon,Urocyon_littoralis ,-0.71,0.29,Omnivore,Terrestrial
445,Urotrichus,Urotrichus_talpoides ,-2.66,-1.74,Omnivore,Terrestrial
446,Ursus,Ursus_americanus ,1.59,2.18,Omnivore,Terrestrial
447,Ursus,Ursus_arctos ,2.91,2.34,Omnivore,Terrestrial
448,Ursus,Ursus_maritimus ,5.1,2.41,Carnivore,Marine
449,Viverra,Viverra_zibetha ,1.08,0.9,Carnivore,Terrestrial
450,Viverricula,Viverricula_indica ,0.49,0.53,Omnivore,Terrestrial
451,Vombatus,Vombatus_ursinus ,-0.97,1.41,Herbivore,Terrestrial
452,Vulpes,Vulpes_lagopus,1.45,0.7,Carnivore,Terrestrial
453,Vulpes,Vulpes_macrotis ,0.94,0.65,Carnivore,Terrestrial
454,Vulpes,Vulpes_rueppelli ,1.48,0.51,Carnivore,Terrestrial
455,Vulpes,Vulpes_velox ,0.74,0.32,Carnivore,Terrestrial
456,Vulpes,Vulpes_vulpes ,0.69,0.81,Omnivore,Terrestrial
457,Wallabia,Wallabia_bicolor ,-0.82,1.18,Herbivore,Terrestrial
458,Xerus,Xerus_erythropus ,-0.91,-0.3,Herbivore,Terrestrial
459,Xerus,Xerus_rutilus ,-1.38,-0.5,Omnivore,Terrestrial
460,Zalophus,Zalophus_californianus ,3.72,1.93,Carnivore,Marine
461,Zapus,Zapus_hudsonius ,-2.64,-1.73,Omnivore,Terrestrial
462,Zapus,Zapus_princeps ,-2.61,-1.57,Omnivore,Terrestrial
